Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
Chapter 8: Order Confirmation,https://www.youtube.com/watch?v=jdbtV5cztR4,0.078951,0.094829,0.346574,0.375000,0.001836,0.017438,2023-06-20 09:07:56,21,0.1579,3.0000,0.1579,19,3,0,0,3,57
Chapter 7: Shopping Cart,https://www.youtube.com/watch?v=Rx9XR_pmpSU,0.078951,0.094829,0.346574,0.375000,0.001836,0.017438,2023-06-20 09:07:13,50,0.1579,3.0000,0.1579,19,3,0,0,3,57
Upload AOI,https://www.youtube.com/watch?v=hMEJkEcb15A,0.071433,0.085806,0.321888,0.400000,0.002294,0.025698,2023-06-20 09:11:06,46,0.1429,4.0000,0.1429,28,4,0,0,4,112
Chapter 5: Search for Archive Data,https://www.youtube.com/watch?v=hahIF4vPtAQ,0.066669,0.080092,0.366204,0.333333,0.001377,0.013767,2023-06-20 09:05:35,46,0.1333,2.0000,0.1333,15,2,0,0,2,30
Chapter 3: Import an AOI,https://www.youtube.com/watch?v=8VBKxsV6oUk,0.066669,0.080092,0.366204,0.333333,0.001377,0.013767,2023-06-20 09:03:57,25,0.1333,2.0000,0.1333,15,2,0,0,2,30
Agriculture: GPI - Cover cattle breeders against shortages in forage yield,https://www.youtube.com/watch?v=PYJvEDwIJKA,0.060612,0.072819,0.321888,0.400000,0.002299,0.030347,2023-06-22 12:37:47,154,0.1212,4.0000,0.1212,33,4,0,0,4,132
Team Gen 6,https://www.youtube.com/watch?v=BkIVIu4_ShU,0.053170,0.163833,0.014703,0.506064,234.500000,4117.000000,2026-06-13 15:49:14,32,0.0991,408.0000,0.1137,4117,408,0,60,468,1926756
Chapter 4: Search for Acquisitions,https://www.youtube.com/watch?v=ufnUdA34cYE,0.055559,0.066758,0.366204,0.333333,0.001377,0.016520,2023-06-20 09:04:45,36,0.1111,2.0000,0.1111,18,2,0,0,2,36
Chapter 9: Order Tracking,https://www.youtube.com/watch?v=T_KVd2Wt3JY,0.055562,0.066758,0.321888,0.400000,0.002294,0.033041,2023-06-20 09:08:43,31,0.1111,4.0000,0.1111,36,4,0,0,4,144
Chapter 1: Dashboard Overview,https://www.youtube.com/watch?v=nMcJevIKV8w,0.038644,0.047819,0.346574,0.386364,0.002294,0.040383,2023-06-20 09:02:17,40,0.0682,3.0000,0.0909,44,3,0,1,4,176
Chapter 6: Search Results,https://www.youtube.com/watch?v=MnB2Cpv6gyo,0.043482,0.052266,0.366204,0.333333,0.001377,0.021109,2023-06-20 09:06:25,37,0.0870,2.0000,0.0870,23,2,0,0,2,46
Order,https://www.youtube.com/watch?v=cEgDAjDt29c,0.039693,0.047711,0.298627,0.416667,0.002753,0.057821,2023-06-20 09:11:55,51,0.0794,5.0000,0.0794,63,5,0,0,5,315
This is the Valkyrie,https://www.youtube.com/watch?v=hTrOTT4iK8o,0.033998,0.041657,0.031405,0.498949,0.963358,27.522917,2026-03-16 16:21:52,50,0.0655,161.0000,0.0696,2457,161,0,10,171,420147
AOI,https://www.youtube.com/watch?v=opvbhFvExp0,0.034488,0.041471,0.366204,0.333333,0.001377,0.026616,2023-06-20 09:10:15,41,0.0690,2.0000,0.0690,29,2,0,0,2,58
Tracking,https://www.youtube.com/watch?v=QbshmstGzDg,0.034098,0.041001,0.346574,0.375000,0.001836,0.040383,2023-06-20 09:12:40,25,0.0682,3.0000,0.0682,44,3,0,0,3,132
SPOT: 1.5m satellite imagery,https://www.youtube.com/watch?v=XNxIZNLC9rw,0.032889,0.039599,0.113373,0.484449,0.013884,0.401297,2023-05-24 13:46:12,166,0.0647,29.0000,0.0670,448,29,0,1,30,13440
"Pléiades Neo, a more Sustainable and Profitable Farming",https://www.youtube.com/watch?v=2422xK2iULo,0.030300,0.036579,0.097592,0.488922,0.010674,0.328769,2021-04-27 07:11:18,29,0.0584,36.0000,0.0633,616,36,0,3,39,24024
DeepDroneChallenge 2021 with BrigkAIR and Airbus,https://www.youtube.com/watch?v=5rs17_rd9Ks,0.033550,0.036934,0.006820,0.499598,0.295175,9.581867,2021-09-23 13:11:51,92,0.0614,1014.0000,0.0616,16523,1014,0,3,1017,16803891
"Bartolomeo Video Series, Ep#5: A Few Easy Steps to Space",https://www.youtube.com/watch?v=SexH3OqkWSA,0.029099,0.035085,0.149787,0.476497,0.005774,0.183674,2021-06-21 12:21:31,110,0.0569,19.0000,0.0599,334,19,0,1,20,6680
Eurofighter | The backbone of European air defence,https://www.youtube.com/watch?v=XUmtc-VXABA,0.030312,0.034699,0.009236,0.501555,2.841456,96.424992,2026-01-29 11:00:57,89,0.0543,710.0000,0.0589,13065,710,0,59,769,10046985
Have you ever seen a flying gas station? ✈️,https://www.youtube.com/watch?v=I_JcFFO6tRc,0.029527,0.035705,0.034705,0.496911,0.527615,17.851567,2026-01-27 13:00:29,78,0.0579,142.0000,0.0587,2453,142,0,2,144,353232
