Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
CE VIEWER NOUS A CHOQUÉ (RADIO LIBRE) 🤣,https://www.youtube.com/watch?v=q-aEfc6zRgE,0.045453,0.043118,0.001208,0.501188,5.651902,155.098906,2024-08-07 16:35:51,639,0.0704,7369.0000,0.0729,104732,7369,0,263,7632,799314624
ON RÈGLE NOS COMPTES AVEC GRANDINGO (découverte du catch),https://www.youtube.com/watch?v=5Xw3sGfjUUs,0.069701,0.039746,0.000395,0.500615,65.511177,1983.748146,2025-11-25 17:02:55,2248,0.0648,25731.0000,0.0660,397227,25731,0,504,26235,10421250345
DÉVALER UNE MONTAGNE EN LUGE SANS FREINER #5,https://www.youtube.com/watch?v=SGnXt6xbz8Y,0.058314,0.032690,0.000543,0.500318,19.506991,716.165423,2025-03-02 17:00:25,1016,0.0538,18035.0000,0.0545,335339,18035,0,232,18267,6125637513
J'ai créé une FAUSSE TRIBU pour PIÉGER mon pote,https://www.youtube.com/watch?v=kNFSm_ytm3Y,0.120078,0.047901,0.000206,0.500615,4311.441753,160177.813629,2026-06-07 16:36:05,5361,0.0526,52720.0000,0.0538,1002597,52720,0,1252,53972,54112165284
IL EST TEMPS DE VOUS DIRE LA VÉRITÉ - FAQ 2025,https://www.youtube.com/watch?v=TPUlwKeNh60,0.096793,0.031634,0.000269,0.500360,38.623214,1463.658862,2025-01-12 17:02:46,595,0.0520,39389.0000,0.0528,757064,39389,0,565,39954,30247735056
ON A PLEURÉ CE JOUR-LÀ AVEC HOUDI – THE LAST RACE,https://www.youtube.com/watch?v=cw8fxwezqIE,0.127954,0.030955,0.000197,0.500386,114.055661,4445.420300,2025-10-09 17:18:00,4389,0.0505,55527.0000,0.0513,1099042,55527,0,868,56395,61980473590
J'ai mis Mastu et Byilhan dans la PIRE vidéo YouTube,https://www.youtube.com/watch?v=MZgLdey5dZY,0.321974,0.032211,0.000075,0.500199,1489.572730,58628.286991,2026-04-20 17:00:23,1784,0.0504,160310.0000,0.0508,3180139,160310,0,1285,161595,513894561705
"ON A TOUT FAIT PÉTER (après plusieurs mois, il y a prescription)",https://www.youtube.com/watch?v=zsobBeUMAV0,0.122646,0.030370,0.000210,0.500276,159.174216,6380.976463,2025-12-31 13:02:03,1642,0.0493,51738.0000,0.0499,1049083,51738,0,600,52338,54906906054
JE MAUDIS LA VOITURE DE BILLY – ENTRAÎNEMENT GP,https://www.youtube.com/watch?v=z5rOra3nM_0,0.295417,0.029256,0.000085,0.500274,209.763938,8642.500689,2025-07-12 11:00:11,2907,0.0480,139553.0000,0.0485,2908137,139553,0,1614,141167,410532975879
Je tente de gagner 1.000.000 d'Euros chez MrBeast,https://www.youtube.com/watch?v=c6W0FHkRujQ,0.158854,0.030283,0.000161,0.500304,497.917134,20570.180266,2026-04-04 16:34:03,2075,0.0478,69066.0000,0.0484,1445275,69066,0,901,69967,101121555925
Cette vidéo n’aurait jamais dû sortir…,https://www.youtube.com/watch?v=J7hv1-R3oAk,0.085998,0.029242,0.000327,0.500321,67.785988,2802.685188,2025-10-19 18:40:27,1200,0.0477,31705.0000,0.0484,664721,31705,0,448,32153,21372774313
"TU PERDS, TU REGRETTES (A VIE) feat @LeBouseuh",https://www.youtube.com/watch?v=bLLEJ9iNth0,0.085375,0.028867,0.000330,0.500153,28.575719,1191.109481,2024-12-07 15:09:29,957,0.0476,31399.0000,0.0480,659064,31399,0,223,31622,20840921808
JE ME SUIS PERDU EN PLEINE MONTAGNE #3,https://www.youtube.com/watch?v=SFunA1KTP2Y,0.063793,0.026698,0.000503,0.500190,21.015693,947.454220,2025-02-26 17:00:28,1632,0.0439,19655.0000,0.0444,447428,19655,0,193,19848,8880550944
ON PREND LE LARGE AVEC LÉNA SITUATIONS – ENTRAÎNEMENT GP,https://www.youtube.com/watch?v=ZS0tBg_83mM,0.233560,0.026738,0.000116,0.500242,175.210202,7923.071373,2025-08-31 16:40:34,3696,0.0437,99189.0000,0.0442,2268028,99189,0,1120,100309,227503620652
