Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
LIVE: China Holds National Memorial Ceremony for Nanjing Massacre Victims,https://www.youtube.com/watch?v=DKdc6CNwEyk,0.025509,0.030191,0.007530,0.504988,1.029612,37.033199,2024-12-13 14:41:31,1370,0.0445,903.0000,0.0556,20304,903,0,225,1128,22902912
The Undetermined Status of Ryukyu,https://www.youtube.com/watch?v=oNuKRlOTIY4,0.023765,0.028968,0.012795,0.504250,1.600163,60.647236,2025-12-08 03:30:32,695,0.0421,482.0000,0.0527,11446,482,0,121,603,6901938
LIVE: China Holds National Memorial Ceremony for Victims of Nanjing Massacre,https://www.youtube.com/watch?v=7a-vYCoEeW8,0.023906,0.027931,0.005776,0.504448,4.160420,164.670772,2025-12-13 14:27:10,1506,0.0408,1231.0000,0.0505,30180,1231,0,293,1524,45994320
"Japanese War Orphan Expresses Gratitude to Chinese Foster Parent, Advocates for Peace",https://www.youtube.com/watch?v=1caXotAF3-Q,0.022433,0.026156,0.008566,0.501557,0.645866,28.329497,2024-08-18 02:30:28,775,0.0411,776.0000,0.0455,18861,776,0,83,859,16201599
Aspire Higher｜The Commitment: Training A Superb Force,https://www.youtube.com/watch?v=IFyw1qCQ92o,0.018569,0.021511,0.008748,0.504712,0.755388,36.830863,2024-08-04 02:15:08,357,0.0302,757.0000,0.0410,25037,757,0,269,1026,25687962
Xi Pays Tribute to Fallen National Heroes in Tian'anmen Square on Martyrs' Day,https://www.youtube.com/watch?v=3sugFqdyOCo,0.020870,0.024423,0.013501,0.498896,0.167332,8.228428,2022-09-30 06:38:46,326,0.0406,452.0000,0.0406,11138,452,0,0,452,5034376
LIVE: China's Shenzhou-18 Crew Returns to Earth,https://www.youtube.com/watch?v=-UBAd6g8V8w,0.019993,0.023590,0.013601,0.500313,0.411001,20.274353,2024-11-04 06:53:45,6816,0.0376,448.0000,0.0405,11913,448,0,34,482,5742066
Chinese President Xi Jinping Delivers 2023 New Year Address,https://www.youtube.com/watch?v=uZnGOBJbO4c,0.021113,0.021566,0.003489,0.503852,1.099599,55.113153,2022-12-31 12:12:05,839,0.0317,2206.0000,0.0399,69518,2206,0,567,2773,192773414
Xi Extends Spring Festival Greetings to All Chinese,https://www.youtube.com/watch?v=sMcF-7h2tyo,0.018348,0.021240,0.010399,0.501485,0.410614,21.868701,2024-02-08 14:59:11,429,0.0329,617.0000,0.0375,18747,617,0,86,703,13179141
Xi Jinping -- The Man of the People,https://www.youtube.com/watch?v=Cs1zXJhxbG4,0.020164,0.020343,0.003504,0.502372,3.522252,195.349100,2025-06-15 14:54:49,358,0.0308,2195.0000,0.0360,71157,2195,0,370,2565,182517705
"UPDATE: Xi, Putin Attend Opening Ceremony of China-Russia Years of Culture",https://www.youtube.com/watch?v=D62eAaDVS2Y,0.018103,0.020069,0.006719,0.502195,0.799942,44.518710,2024-05-17 01:44:17,337,0.0305,1032.0000,0.0359,33781,1032,0,181,1213,40976353
Vlog丨Citywalk在喀山，遇见金砖！,https://www.youtube.com/watch?v=rVNlu9XHLyc,0.018133,0.021269,0.014824,0.499364,0.348847,19.458820,2024-10-22 07:50:26,338,0.0346,404.0000,0.0358,11686,404,0,14,418,4884748
