Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
"SRE sous pression : santé mentale, charge invisible et fatigue du “héros de la prod”",https://www.youtube.com/watch?v=XwECzgHIV_U,0.091158,0.028570,0.160576,0.473538,0.089189,3.567558,2026-02-18 08:00:01,0.0447,17.0000,0.0474,380,17,0,1,18,6840
REX Numberly - Automatiser la gestion des identifiants DB dans k8s avec Vault et vault-db-injector,https://www.youtube.com/watch?v=QhOEMqbrFBk,0.076865,0.027409,0.188504,0.465920,0.070412,2.872823,2026-02-18 08:00:01,0.0425,13.0000,0.0458,306,13,0,1,14,4284
Sécuriser vos déploiements : quand kube-image-keeper sauve la prod !,https://www.youtube.com/watch?v=FwOc2jnxjkc,0.050535,0.027521,0.259930,0.437500,0.037553,1.483353,2026-02-18 08:00:01,0.0443,7.0000,0.0443,158,7,0,0,7,1106
Même Chuck Norris utilise Topomatik !,https://www.youtube.com/watch?v=TCLYktup5TU,0.042385,0.026580,0.298627,0.416667,0.028165,1.098432,2026-02-18 08:00:01,0.0427,5.0000,0.0427,117,5,0,0,5,585
kro : La révolution déclarative qui simplifie les déploiements Kubernetes,https://www.youtube.com/watch?v=5XJoDB7bMtw,0.046738,0.025766,0.277987,0.428571,0.032859,1.361305,2026-02-18 08:00:00,0.0414,6.0000,0.0414,145,6,0,0,6,870
REX Sellsy - Migrer 50 000 BDDs sans coupure vers PostgreSQL et K8s : mission impossible ?,https://www.youtube.com/watch?v=g3KXvevXStM,0.111476,0.025104,0.144977,0.477173,0.103271,4.778650,2026-02-18 08:00:01,0.0393,20.0000,0.0413,509,20,0,1,21,10689
Sécuriser la PKI de vos clusters Kubernetes avec ClusterAPI et OpenBao,https://www.youtube.com/watch?v=IicaBjbLyLs,0.087356,0.019689,0.197304,0.462788,0.065718,3.755324,2026-02-18 08:00:00,0.0300,12.0000,0.0325,400,12,0,1,13,5200
Le jour où nous avons cassé Kubernetes... et comment nous l’avons réparé !,https://www.youtube.com/watch?v=7GcDh4aFTU4,0.057460,0.018586,0.259930,0.437500,0.037553,2.234418,2026-02-18 08:00:01,0.0294,7.0000,0.0294,238,7,0,0,7,1666
REX Ubisoft - Quand et comment partager un cluster : retour d'expérience sur Capsule chez Ubisoft,https://www.youtube.com/watch?v=NAx2s_o1iuE,0.057460,0.018586,0.259930,0.437500,0.037553,2.234418,2026-02-18 08:00:00,0.0294,7.0000,0.0294,238,7,0,0,7,1666
REX SNCF - Smells like Cloud Kubernetes : Notre Kube managé on-premise,https://www.youtube.com/watch?v=Wb3cNKyJtCY,0.109103,0.017292,0.180537,0.467607,0.075106,4.994581,2026-02-18 08:00:00,0.0263,14.0000,0.0282,532,14,0,1,15,7980
