Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
"Instrumenting Java with eBPF: TLS, Threads, and OBI (OpenTelemetry eBPF Instrumentation)",https://www.youtube.com/watch?v=M2t0xkjT-os,0.033508,0.038308,0.259930,0.437500,0.209496,6.651501,2026-05-14 17:18:12,0.0551,7.0000,0.0551,127,7,0,0,7,889
Pyroscope 2.0: Continuous Profiling Architecture Deep Dive,https://www.youtube.com/watch?v=vseSm-pzgmc,0.031401,0.033308,0.244136,0.444444,0.235681,8.955882,2026-05-14 17:17:58,0.0468,8.0000,0.0468,171,8,0,0,8,1368
Grafana for Business Intelligence: How Grafana Labs Runs on Grafana,https://www.youtube.com/watch?v=_7Ld_xgmk64,0.027756,0.029515,0.277987,0.434352,0.235681,9.060613,2026-05-14 17:17:55,0.0347,6.0000,0.0462,173,6,0,2,8,1384
Real-time ML Inside a $2M Electron Microscope for Nuclear Powered Data Centers | Theia Scientific,https://www.youtube.com/watch?v=SdlftTq74-w,0.024206,0.030237,0.346574,0.375000,0.104746,3.770854,2026-05-14 17:17:39,0.0417,3.0000,0.0417,72,3,0,0,3,216
When Observability Meets a Tamagotchi,https://www.youtube.com/watch?v=-taKRZWXdwQ,0.028110,0.025637,0.259930,0.443500,0.288052,13.093268,2026-05-14 17:17:42,0.0280,7.0000,0.0400,250,7,0,3,10,2500
How the Python Software Foundation Uses Grafana to Protect Python Infrastructure,https://www.youtube.com/watch?v=HEn0Jrg1UWA,0.023103,0.026666,0.321888,0.400000,0.130938,5.866019,2026-05-14 17:18:48,0.0357,4.0000,0.0357,112,4,0,0,4,448
A Golf Launch Monitor That Actually Works | Open Source | OpenFlight | GrotShotPro,https://www.youtube.com/watch?v=sgKlX8fn1NM,0.036834,0.025805,0.180537,0.467849,0.418986,22.153890,2026-05-14 17:17:48,0.0331,14.0000,0.0355,423,14,0,1,15,6345
How to Speed Up Grafana Dashboards 100x with ASAPQuery,https://www.youtube.com/watch?v=Y0ZtUhw5evc,0.025240,0.025576,0.277987,0.428571,0.183306,9.270051,2026-05-14 17:17:45,0.0339,6.0000,0.0339,177,6,0,0,6,1062
Loki's New Architecture: 10x Faster Logs at Petabyte Scale | Grafana Labs,https://www.youtube.com/watch?v=0yJPA_xwON0,0.043587,0.024527,0.154970,0.475376,0.549929,30.953124,2026-05-14 17:18:16,0.0305,18.0000,0.0338,591,18,0,2,20,11820
How the AI Team Scaled Grafana Assistant Context and Built AI Observability,https://www.youtube.com/watch?v=Ec5xlCIggh4,0.023629,0.025105,0.298627,0.416667,0.157121,7.908430,2026-05-14 17:18:02,0.0331,5.0000,0.0331,151,5,0,0,5,755
Grafana k6 v2.0: AI-Assisted Testing and What's New,https://www.youtube.com/watch?v=rbWZekxFlPM,0.038741,0.024025,0.173287,0.469760,0.445184,25.925410,2026-05-14 17:18:29,0.0303,15.0000,0.0323,495,15,0,1,16,7920
Why 72px Stream Deck Panels Beat Wall Displays in Incidents,https://www.youtube.com/watch?v=WgSw-bwJ_h8,0.021775,0.024285,0.321888,0.400000,0.130937,6.599219,2026-05-14 17:18:35,0.0317,4.0000,0.0317,126,4,0,0,4,504
When Theory Meets Scale: Mimir and Tempo in Production,https://www.youtube.com/watch?v=iFyGv5nOgr4,0.038024,0.024225,0.173287,0.468750,0.419004,24.825995,2026-05-14 17:18:59,0.0316,15.0000,0.0316,474,15,0,0,15,7110
GrafanaCON 2026... wow.,https://www.youtube.com/watch?v=HgBSnAs76a0,0.035567,0.019774,0.188504,0.464286,0.178873,11.575666,2026-04-24 16:20:03,0.0287,13.0000,0.0287,453,13,0,0,13,5889
This is How You Visualize the World's Fastest Temporary Network | SCinet | Grafana Labs,https://www.youtube.com/watch?v=Y8zvrba5uRI,0.019116,0.022219,0.346574,0.375000,0.104750,5.551758,2026-05-14 17:18:45,0.0283,3.0000,0.0283,106,3,0,0,3,318
"""How I Built a Kafka Plugin for Grafana"" | 4M+ Downloads",https://www.youtube.com/watch?v=Qe7pHp0R0fg,0.020634,0.021904,0.321888,0.400000,0.130936,7.541905,2026-05-14 17:18:22,0.0278,4.0000,0.0278,144,4,0,0,4,576
How a 3-Person Team Monitors All of Ireland's Railway | Grafana Labs,https://www.youtube.com/watch?v=Cr7yGJdMTI8,0.023989,0.021827,0.277987,0.428571,0.183314,11.365460,2026-05-14 17:18:55,0.0276,6.0000,0.0276,217,6,0,0,6,1302
Lessons From a CI/CD Supply Chain Attack at Grafana Labs,https://www.youtube.com/watch?v=4D068lS85NY,0.052253,0.030229,0.136326,0.478261,1.656222,120.112073,2026-05-26 20:54:05,0.0264,22.0000,0.0264,834,22,0,0,22,18348
"GrafanaCON 2026 Golden Grot Awards Ceremony: Aurora Chaser, Blue Ghost Mission 1, AI Innovations",https://www.youtube.com/watch?v=MSrsyO-sSh4,0.018497,0.021027,0.346574,0.375000,0.104747,5.970563,2026-05-14 17:17:51,0.0263,3.0000,0.0263,114,3,0,0,3,342
Planet-scale Dashboards at Google with Grafana,https://www.youtube.com/watch?v=2oBPNGHqLd8,0.020277,0.021027,0.321888,0.400000,0.130936,7.960886,2026-05-14 17:18:19,0.0263,4.0000,0.0263,152,4,0,0,4,608
Grafana in the Ocean: A Digital Twin Powered by Grafana for Marine Conservation Research at DIGI4ECO,https://www.youtube.com/watch?v=2cjpzJKN3kI,0.019963,0.020144,0.321888,0.400000,0.130939,8.432474,2026-05-14 17:19:02,0.0248,4.0000,0.0248,161,4,0,0,4,644
What's New & Next in Grafana Alloy: The Official OpenTelemetry Collector Distribution,https://www.youtube.com/watch?v=v8ukwFUh8PU,0.027513,0.020098,0.244136,0.444444,0.235683,16.916779,2026-05-14 17:18:09,0.0248,8.0000,0.0248,323,8,0,0,8,2584
Grafana Alerting: One Engine to Rule Them All,https://www.youtube.com/watch?v=6l6F687MSyI,0.030139,0.018473,0.230259,0.450000,0.261873,21.368861,2026-05-14 17:18:32,0.0221,9.0000,0.0221,408,9,0,0,9,3672
From Cows to Canvas: Monitoring Farm Emissions in Grafana,https://www.youtube.com/watch?v=UZJ2NqGBf5g,0.011916,0.016558,0.346574,0.250000,0.052375,2.775874,2026-05-14 17:18:42,0.0189,1.0000,0.0189,53,1,0,0,1,53
GrafanaCON 2026 Keynote Livestream,https://www.youtube.com/watch?v=UazoZQHW0kI,0.308571,0.012688,0.042732,0.495611,1.334852,152.673731,2026-04-21 20:41:34,0.0170,109.0000,0.0173,6405,109,0,2,111,710955
Here's How an E-bike Company Observes Their Entire Business with Grafana | Business Observability,https://www.youtube.com/watch?v=MlESgnRzNvc,0.013911,0.015074,0.366204,0.333333,0.078562,6.389732,2026-05-14 17:18:38,0.0164,2.0000,0.0164,122,2,0,0,2,244
"Grafana 13 Deep Dive: Suggested Dashboards, Dynamic Dashboards, SQL Expressions, and More!",https://www.youtube.com/watch?v=giocvyAXO28,0.023203,0.014139,0.298627,0.416667,0.157119,17.649651,2026-05-14 17:17:35,0.0148,5.0000,0.0148,337,5,0,0,5,1685
GrafanaCon 2026 Preview,https://www.youtube.com/watch?v=jBOfU5gliw4,0.025768,0.003171,0.346574,0.250000,0.020392,10.807969,2026-04-14 18:38:11,0.0019,1.0000,0.0019,530,1,0,0,1,530
