Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
Logements : les propriétaires racistes ne se cachent plus,https://www.youtube.com/watch?v=CWDFAJlz01s,0.027819,0.014881,0.003299,0.511898,4.372388,238.230368,2024-04-28 15:00:09,859,0.0125,2352.0000,0.0367,188437,2352,0,4564,6916,1303230292
Gaza : ils se battent pour manger chaque jour,https://www.youtube.com/watch?v=2Dcylm5Fd88,0.016338,0.016932,0.007803,0.505243,7.630372,474.083196,2026-03-31 15:00:08,2216,0.0205,866.0000,0.0322,42187,866,0,491,1357,57247759
K-Pop : comment ce phénomène a envahi la France,https://www.youtube.com/watch?v=1-o2ZUe6Dvc,0.022369,0.017638,0.003199,0.501846,1.548659,99.034721,2024-01-04 16:00:02,1036,0.0272,2437.0000,0.0313,89720,2437,0,368,2805,251664600
Le phénomène choc des enfants prédicateurs au Brésil,https://www.youtube.com/watch?v=4Y0ta-b_2w8,0.013655,0.018233,0.016055,0.502695,8.229470,565.187057,2026-05-28 15:00:33,2868,0.0210,367.0000,0.0291,17513,367,0,142,509,8914117
"Au Laos, un enfant voit son frère mourir devant ses yeux",https://www.youtube.com/watch?v=4YgsFvT5wuw,0.016498,0.017224,0.009192,0.499519,0.307533,21.339224,2023-04-05 06:00:01,39,0.0283,714.0000,0.0288,25188,714,0,11,725,18261300
"""Je n’ai jamais entendu ma voix"" : le combat d’une avocate sourde",https://www.youtube.com/watch?v=eFZrShxmte0,0.013418,0.016492,0.034513,0.498397,0.659021,46.734940,2026-02-22 16:00:52,2947,0.0243,143.0000,0.0280,5886,143,0,22,165,971190
Ces élèves sont formés selon les règles de l’Islam,https://www.youtube.com/watch?v=AzEfZ8Hkltw,0.015842,0.013665,0.006914,0.504607,1.151185,83.245822,2024-08-09 15:00:09,944,0.0174,998.0000,0.0276,57272,998,0,585,1583,90661576
"""Les services sociaux n'ont rien fait"", une jeune femme raconte l'enfer qu'elle a vécu enfant",https://www.youtube.com/watch?v=6wRfICpd-DQ,0.013222,0.014945,0.020862,0.500177,0.134814,10.025712,2023-04-13 15:00:02,571,0.0227,267.0000,0.0268,11750,267,0,48,315,3701250
"""Je ne suis pas une fille !"" 😥 #shorts",https://www.youtube.com/watch?v=bMoZbTW4yxU,0.030190,0.014949,0.001819,0.501763,2.201302,165.166552,2023-02-18 07:00:17,37,0.0229,4640.0000,0.0267,202547,4640,0,758,5398,1093348706
"En Syrie, cet hôpital tente de les sauver à tout prix",https://www.youtube.com/watch?v=CJuJI1cA8FE,0.012686,0.015044,0.047936,0.495629,0.067462,5.189246,2024-06-02 15:00:09,827,0.0240,94.0000,0.0257,3923,94,0,7,101,396223
Enfants transgenres : ces familles confrontées à la transition,https://www.youtube.com/watch?v=RcH-0pgpAcI,0.019734,0.016638,0.004074,0.503687,56.573647,4571.917811,2026-06-04 15:00:13,3631,0.0168,1845.0000,0.0247,109664,1845,0,868,2713,297518432
Mort de Nahel : les peines choquantes des émeutiers,https://www.youtube.com/watch?v=wX5hDrjFxoc,0.019031,0.011165,0.004935,0.505464,1.590906,131.303018,2024-01-18 16:00:39,922,0.0126,1478.0000,0.0242,117115,1478,0,1359,2837,332255255
Sahel : ces soldats qui combattent pour la France,https://www.youtube.com/watch?v=K4CxDShcNgI,0.010175,0.012257,0.055309,0.497382,0.059689,4.937458,2023-11-16 16:00:11,1107,0.0165,78.0000,0.0240,4715,78,0,35,113,532795
Paraguay : il crée un orchestre avec des instruments recyclés,https://www.youtube.com/watch?v=EriumUoZN2s,0.011731,0.013844,0.049150,0.495530,0.046041,3.816806,2023-07-08 15:00:10,1493,0.0220,91.0000,0.0239,4145,91,0,8,99,410355
"À 34 ans, elle sauve le dernier commerce de son village",https://www.youtube.com/watch?v=e7sCXNIAYAA,0.011701,0.013930,0.025661,0.498699,0.943054,81.816079,2026-02-26 16:00:58,3004,0.0207,207.0000,0.0230,9977,207,0,22,229,2284733
Malaisie : au cœur d’un pays sous tension religieuse,https://www.youtube.com/watch?v=RBqHjmL9Dic,0.010609,0.012481,0.020862,0.502218,2.476601,215.773837,2026-04-05 15:00:43,3190,0.0147,267.0000,0.0229,18122,267,0,148,415,7520630
Il a fait vivre un enfer à ces adolescents pendant deux ans,https://www.youtube.com/watch?v=hvsGfQ-tRBk,0.011502,0.012834,0.022993,0.499157,0.202727,18.036689,2024-09-05 15:00:46,821,0.0199,237.0000,0.0224,11922,237,0,30,267,3183174
"Blocages, vandalisme : les méthodes chocs des éco-activistes",https://www.youtube.com/watch?v=kLi-Op_epUs,0.009243,0.010723,0.038383,0.500361,0.113369,10.248157,2023-12-28 16:00:26,1123,0.0134,125.0000,0.0220,9356,125,0,81,206,1927336
"Précarité, épuisement... l'enfer des livreurs Uber Eats et Deliveroo",https://www.youtube.com/watch?v=zpDd0rABCJQ,0.010991,0.046007,0.033404,0.497793,27.961403,2527.576862,2026-06-25 15:00:28,3049,0.0197,149.0000,0.0220,7548,149,0,17,166,1252968
Enquête au cœur des charlatans qui pensent soigner le cancer,https://www.youtube.com/watch?v=Jgn6OIW5oMQ,0.010032,0.010848,0.023232,0.501780,0.232533,21.298970,2024-05-02 15:00:14,1202,0.0140,234.0000,0.0218,16762,234,0,131,365,6118130
L'insécurité en Guadeloupe 😨 #shorts,https://www.youtube.com/watch?v=X8_YtPToPFo,0.012005,0.012628,0.015982,0.499466,0.162164,14.889082,2023-02-11 07:00:11,47,0.0201,369.0000,0.0217,18363,369,0,30,399,7326837
"Insultes, menaces : quand l'anonymat sur Internet va trop loin",https://www.youtube.com/watch?v=wlqACnjb_Rg,0.010784,0.012046,0.024886,0.499486,0.209213,19.289616,2024-10-17 15:01:00,1093,0.0180,215.0000,0.0216,11940,215,0,43,258,3080520
L’impuissance des habitants face à la délinquance à Nantes,https://www.youtube.com/watch?v=2XNCVidE1_Y,0.056858,0.009842,0.001439,0.505267,5.341419,494.441751,2023-06-02 15:00:02,1302,0.0109,6049.0000,0.0216,554757,6049,0,5936,11985,6648762645
