Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Title,URL,Published at,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
0.097488,0.055632,0.000025,0.500842,625.043171,13415.583282,On a réalisé le rêve de ces enfants 🌈,https://www.youtube.com/watch?v=vUqwSRDN_Do,2025-03-23 17:32:12,0.0915,535245.0000,0.0932,5850003,535245,0,9867,545112,3188906835336
0.106056,0.050804,0.000022,0.501109,153.132518,3573.605998,on surprend des petits streamers,https://www.youtube.com/watch?v=6kMf1x1cxk8,2020-11-06 18:07:40,0.0835,606819.0000,0.0857,7268842,606819,0,16134,622953,4528146930426
0.095094,0.047744,0.000026,0.500696,127.901171,3190.145546,je sors les vieux dossiers...,https://www.youtube.com/watch?v=cwH8rfn8D2U,2021-01-02 17:47:07,0.0788,496944.0000,0.0802,6307077,496944,0,8789,505733,3189696972441
0.102844,0.044325,0.000024,0.501320,135.067218,3596.178881,ils ont sous-estimé mon cahier de vacances,https://www.youtube.com/watch?v=Bt7Nf6l2OAI,2020-09-10 16:19:39,0.0725,545014.0000,0.0751,7520008,545014,0,19866,564880,4247902119040
0.108405,0.042999,0.000023,0.500978,134.813231,3715.420745,me dérangez pas je joue avec mon fils,https://www.youtube.com/watch?v=tJ39eFYOVok,2020-04-27 17:18:14,0.0706,584276.0000,0.0726,8274502,584276,0,16200,600476,4968639862952
0.095918,0.042332,0.000027,0.500787,130.692117,3668.377714,on a loué un camion et on fait des surprises,https://www.youtube.com/watch?v=lyrgK96-bWk,2021-04-04 16:26:18,0.0697,481838.0000,0.0713,6915281,481838,0,10898,492736,3407407898816
0.090289,0.041143,0.000030,0.500526,141.110852,4090.654838,j'ai trouvé mon âme sœur grâce à ça,https://www.youtube.com/watch?v=miI6EEypbcg,2022-02-22 18:28:48,0.0679,433818.0000,0.0690,6385598,433818,0,6735,440553,2813194355694
0.123655,0.040415,0.000020,0.500671,222.216829,6543.104828,on affronte les plus grandes peurs de l'humanité,https://www.youtube.com/watch?v=72mo70CeSHE,2022-02-16 17:59:12,0.0666,682680.0000,0.0679,10253317,682680,0,13765,696445,7140871358065
0.105161,0.039980,0.000025,0.501189,121.264079,3579.684359,J’ai ramené ça du Japon et je suis fan,https://www.youtube.com/watch?v=YQHSAu6CUjA,2020-02-25 18:29:02,0.0654,535643.0000,0.0678,8193972,535643,0,19508,555151,4548891749772
0.110930,0.039127,0.000023,0.501507,131.800351,3955.265935,J’avais que ça sous la main mais j’ai adoré,https://www.youtube.com/watch?v=zibw0LoKIu4,2020-03-26 18:20:41,0.0636,568532.0000,0.0666,8935051,568532,0,26948,595480,5320644169480
