Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
MISTER V - FAIRE UN FILM,https://www.youtube.com/watch?v=5mWnCYKzpco,0.044382,0.046153,0.000077,0.500486,292.513181,7618.017319,2025-09-07 15:29:56,0.0758,156075.0000,0.0768,2058582,156075,0,2013,158088,325437111216
MISTER V - JE SORS 2 NOUVELLES PIZZAS !,https://www.youtube.com/watch?v=93Plhth7wac,0.044202,0.043620,0.000065,0.500469,73.067868,2000.618078,2022-11-07 16:49:32,0.0721,188266.0000,0.0730,2611147,188266,0,2465,190731,498026678457
MISTER V - J'AI GAGNÉ LA COURSE A SQUEEZIE (C'EST LE GP EXPLORER 2),https://www.youtube.com/watch?v=-aJAlfghmUc,0.045565,0.043530,0.000055,0.500415,119.317509,3278.395335,2023-11-05 16:00:00,0.0720,222266.0000,0.0728,3088919,222266,0,2576,224842,694518725798
MISTER V - LES 11 RAPPEURS À NE PAS SUIVRE 2,https://www.youtube.com/watch?v=h5BORTfWjPo,0.056555,0.042389,0.000027,0.500796,1702.116298,48410.278742,2026-01-07 17:01:14,0.0687,492941.0000,0.0703,7172565,492941,0,11436,504377,3617676817005
Les vidéos storytelling en 2026,https://www.youtube.com/watch?v=54u7BOQtN_E,0.038287,0.042854,0.000146,0.500367,360.266241,10255.761724,2026-02-16 16:47:45,0.0695,77111.0000,0.0703,1109380,77111,0,829,77940,86465077200
MISTER V - LOVID-19,https://www.youtube.com/watch?v=q_LVQeWeo4U,0.041373,0.040531,0.000071,0.500260,45.554273,1345.273225,2021-04-22 16:55:29,0.0672,168974.0000,0.0677,2514539,168974,0,1322,170296,428215933544
Qui a la meilleure des daronnes ?,https://www.youtube.com/watch?v=UOMqYrbRncY,0.042673,0.040219,0.000061,0.500611,82.022396,2429.824514,2022-12-29 19:10:19,0.0663,201822.0000,0.0675,3044746,201822,0,3737,205559,625874943014
MISTER V - GAUCHE DROITE,https://www.youtube.com/watch?v=N_1I1M2DE6k,0.042765,0.040192,0.000060,0.500263,55.640846,1656.913387,2021-05-12 16:46:44,0.0666,204151.0000,0.0672,3063918,204151,0,1627,205778,630486918204
MISTER V - LE PIRE PSY,https://www.youtube.com/watch?v=e1SaNQLOquY,0.042769,0.038971,0.000056,0.500239,63.382928,1947.298334,2021-08-24 13:13:33,0.0646,219606.0000,0.0651,3398659,219606,0,1640,221246,751939709114
COMMENT RENTRER EN BOÎTE DE NUIT À TOUS LES COUPS ?,https://www.youtube.com/watch?v=Xg68px0WvSU,0.036126,0.039231,0.000126,0.500264,509.056380,15956.281221,2026-03-06 18:06:27,0.0633,90972.0000,0.0638,1437928,90972,0,776,91748,131927018144
"McWALTER, LE FILM -  TEASER (2025) MISTER V, SIMON ASTIER",https://www.youtube.com/watch?v=99fKlVqoinQ,0.032478,0.037070,0.000277,0.500920,57.917917,1861.539501,2025-06-30 16:00:31,0.0604,38113.0000,0.0622,631442,38113,0,1178,39291,24809987622
LE FEAT LÉGENDAIRE (Avec Mister V) #JOYCAR Ep 3,https://www.youtube.com/watch?v=c4Go4awhnc8,0.043852,0.036128,0.000046,0.500393,108.812169,3598.492909,2022-12-20 16:02:51,0.0597,271097.0000,0.0605,4542027,271097,0,3588,274685,1247626686495
MISTER V - MODIFIE MON VÉHICULE,https://www.youtube.com/watch?v=Ag5C9gI8tZo,0.059148,0.035049,0.000023,0.500635,140.255068,4756.849460,2020-10-02 17:06:04,0.0577,568456.0000,0.0590,9852190,568456,0,12524,580980,5723925346200
QUI C'EST QUI FERA LA MEILLEURE CHANSON PAILLARDE ? (feat Jérome Niel & Freddy Gladieux),https://www.youtube.com/watch?v=ZT2x-qUv48k,0.043616,0.034801,0.000045,0.500558,179.305841,6145.862273,2024-04-07 09:56:02,0.0572,277322.0000,0.0583,4845750,277322,0,5427,282749,1370130966750
MISTER V : ULTIMATE WRESTLE DAZZLE (MST),https://www.youtube.com/watch?v=cfpV82DgEUI,0.033667,0.034791,0.000127,0.500335,29.667270,1019.204592,2022-03-25 11:00:21,0.0575,89861.0000,0.0582,1561842,89861,0,1063,90924,142008922008
MISTER V - LA PIZZA DELAMAMA 2,https://www.youtube.com/watch?v=_JhmNjntth8,0.045138,0.034688,0.000041,0.500338,168.752296,5821.773202,2023-11-26 15:07:48,0.0573,307281.0000,0.0580,5363255,307281,0,3641,310922,1667553971110
MISTER V - FAIRE UN 2EME ALBUM,https://www.youtube.com/watch?v=Q5tngJoo328,0.056628,0.033524,0.000025,0.500585,114.711054,4068.632758,2020-01-27 20:12:26,0.0552,521195.0000,0.0564,9439347,521195,0,11070,532265,5024234030955
