Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
Donner à la France les moyens de sa liberté,https://www.youtube.com/watch?v=S_f34imLeqE,0.035320,0.040249,0.008157,0.504304,5.483377,156.319216,2026-03-18 16:33:04,154,0.0603,822.0000,0.0701,13641,822,0,134,956,13040796
Moving ahead together - Samen Voorwaarts,https://www.youtube.com/watch?v=WNrKgudOqcs,0.030012,0.036229,0.088992,0.490217,0.036220,1.138101,2024-09-30 17:50:08,60,0.0580,41.0000,0.0622,707,41,0,3,44,31108
⛑️🧤 La SST est l’affaire de toutes et tous !,https://www.youtube.com/watch?v=DX2bBPRic1I,0.025110,0.030631,0.136326,0.481494,0.031582,1.127235,2025-04-28 07:50:23,122,0.0474,22.0000,0.0539,464,22,0,3,25,11600
[#THROWBACK] Mise à flot et pose du PSIM de la FDI Amiral Louzeau,https://www.youtube.com/watch?v=6e047RNDR6U,0.026253,0.041734,0.040979,0.496572,6.460792,244.110240,2026-06-04 15:59:53,121,0.0507,115.0000,0.0525,2267,115,0,4,119,269773
[#THROWBACK] Delivery of the Tonelero and launch of the Almirante Karam,https://www.youtube.com/watch?v=hkC7lOy7WWM,0.026012,0.031492,0.064221,0.493101,0.180859,6.802453,2025-12-10 17:25:33,120,0.0508,64.0000,0.0524,1260,64,0,2,66,83160
⚓📰 Naval Group vous présente Naval Review !,https://www.youtube.com/watch?v=CZVjf3KTmT4,0.025163,0.030329,0.090575,0.489029,0.047026,1.786998,2025-03-13 18:17:15,52,0.0490,40.0000,0.0514,817,40,0,2,42,34314
Barracuda Netherlands - Look Beyond,https://www.youtube.com/watch?v=4wSZBQoYX_A,0.025174,0.030200,0.080650,0.490627,0.034220,1.311320,2024-06-13 09:24:17,24,0.0491,47.0000,0.0511,958,47,0,2,49,46942
[THROWBACK] Visite de la Ministre des Armées et du Ministre Grec de la Défense à Lorient,https://www.youtube.com/watch?v=3GM63_yFUFY,0.024129,0.029009,0.074911,0.493198,0.018309,0.707531,2022-01-14 17:11:37,141,0.0456,52.0000,0.0509,1140,52,0,6,58,66120
Règles d’or SSTE – Des gestes forts pour la planète,https://www.youtube.com/watch?v=HOaWwFuCWVs,0.024290,0.029229,0.180537,0.466667,0.012248,0.471974,2024-10-09 15:09:52,48,0.0484,14.0000,0.0484,289,14,0,0,14,4046
First anniversary of the dutch Orka programme,https://www.youtube.com/watch?v=x_j98YgA0CE,0.023908,0.029073,0.108304,0.485131,0.079226,3.173832,2025-11-17 16:30:26,48,0.0469,31.0000,0.0484,661,31,0,1,32,21152
"Multipurpose and modular launching system (MPLS) ""ready to fire""",https://www.youtube.com/watch?v=6BQ4DpiWbEM,0.023128,0.027551,0.040430,0.496522,0.276980,11.964634,2025-11-05 17:18:13,70,0.0444,117.0000,0.0459,2635,117,0,4,121,318835
Naval Group Yearbook 2023,https://www.youtube.com/watch?v=9vn_D3r5hpY,0.021748,0.026053,0.119007,0.482143,0.018651,0.832642,2024-05-24 07:56:00,62,0.0432,27.0000,0.0432,625,27,0,0,27,16875
⚓🎬 Talents étonnants – épisode 9 : responsable d’ingénierie systèmes,https://www.youtube.com/watch?v=HFHUmWIpwH8,0.021209,0.025584,0.144977,0.476190,0.028128,1.269785,2025-06-05 15:52:51,185,0.0422,20.0000,0.0422,474,20,0,0,20,9480
​⚓​🤿​ Plongée dans la Tech - Jumeau numérique,https://www.youtube.com/watch?v=7PfwkyWFgnc,0.020247,0.024440,0.122068,0.482243,0.033529,1.573454,2025-04-22 09:36:46,340,0.0396,26.0000,0.0411,657,26,0,1,27,17739
[#RSE] Réduire et trier nos déchets grâce à l'îlot déchets,https://www.youtube.com/watch?v=9V9SCBjlidM,0.020375,0.024432,0.154970,0.473684,0.010187,0.476116,2023-11-24 09:47:37,89,0.0405,18.0000,0.0405,444,18,0,0,18,7992
BRF Jacques Stosskopf en mer / at sea,https://www.youtube.com/watch?v=dgCQ7S1ysBo,0.019749,0.023296,0.036770,0.497085,0.350579,17.927429,2025-11-27 17:01:55,75,0.0371,132.0000,0.0388,3554,132,0,6,138,490452
[Ma thèse en 180 secondes] ⚓💡 Episode 1 : détection des cyberattaques par l’IA,https://www.youtube.com/watch?v=48uzPkLlkKU,0.019189,0.023029,0.110774,0.484496,0.024678,1.233917,2024-09-03 14:40:22,212,0.0375,30.0000,0.0387,800,30,0,1,31,24800
[Ma thèse en 180 secondes] ⚓💡 Episode 2 : dynamique des phénomènes au sein d’un condenseur,https://www.youtube.com/watch?v=OvCOX6l3cRs,0.018780,0.022690,0.160576,0.473295,0.014974,0.734537,2024-09-17 12:57:42,218,0.0365,17.0000,0.0386,466,17,0,1,18,8388
Naval Innovation Days – Sujet 4 : Wargame,https://www.youtube.com/watch?v=ZgsBmnbEJjY,0.018957,0.023052,0.132419,0.479971,0.047836,2.380338,2025-09-25 15:30:08,138,0.0370,23.0000,0.0386,622,23,0,1,24,14928
[#Submarine] Delivery ceremony of SBR Humaitá,https://www.youtube.com/watch?v=tQTCqPrHjLc,0.019129,0.022957,0.173287,0.468750,0.009182,0.452223,2024-01-24 16:49:57,130,0.0381,15.0000,0.0381,394,15,0,0,15,5910
