Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
CES 365 DERNIERS JOURS SUR YOUTUBE,https://www.youtube.com/watch?v=EvWKe0epXLk,0.077870,0.056552,0.000032,0.503443,67.468324,1381.879607,2017-06-25 17:47:26,903,0.0908,410265.0000,0.0976,4520407,410265,0,31139,441404,1995325731428
je sors un album et j’vous raconte tout,https://www.youtube.com/watch?v=1NX0KyA8984,0.075931,0.055476,0.000033,0.502640,97.775679,2057.937425,2020-08-21 16:28:08,1150,0.0897,391203.0000,0.0950,4359240,391203,0,23024,414227,1805714907480
On a réalisé le rêve de ces enfants 🌈,https://www.youtube.com/watch?v=vUqwSRDN_Do,0.086359,0.055548,0.000025,0.500841,615.243479,13224.492002,2025-03-23 17:32:12,2319,0.0914,535497.0000,0.0930,5861258,535497,0,9869,545366,3196530830428
Si vous ne comprenez rien c’est normal moi non plus (Linda Brown #2),https://www.youtube.com/watch?v=-1qR0oOR_q4,0.089773,0.048736,0.000023,0.502400,124.502749,2979.978618,2019-11-03 18:19:11,973,0.0788,565653.0000,0.0836,7182284,565653,0,34494,600147,4310426195748
j'ai un nouveau studio (F.A.Q.),https://www.youtube.com/watch?v=3QU0Iv7KcWw,0.086867,0.048404,0.000025,0.501905,131.187795,3180.295936,2020-08-03 17:21:04,1178,0.0787,534599.0000,0.0825,6793812,534599,0,25892,560491,3807870481692
Ce prêtre mène une double vie incroyable,https://www.youtube.com/watch?v=okKBQ1Gp5pQ,0.073306,0.047379,0.000033,0.500464,169.082105,4265.072040,2023-04-10 17:13:36,1038,0.0784,386406.0000,0.0793,4931384,386406,0,4587,390993,1928136624312
J'ai honte d'aimer ça...,https://www.youtube.com/watch?v=K4J9rCmJ3d4,0.105076,0.044922,0.000019,0.503306,158.977654,4070.707786,2019-10-17 16:33:32,964,0.0715,706404.0000,0.0781,9880638,706404,0,65353,771757,7625451540966
ils ont sous-estimé mon cahier de vacances,https://www.youtube.com/watch?v=Bt7Nf6l2OAI,0.088524,0.044320,0.000024,0.501320,134.602306,3584.196552,2020-09-10 16:19:39,1135,0.0725,544993.0000,0.0751,7520586,544993,0,19868,564861,4248085728546
"On a un problème (F.A.Q., nude, DJ, tortue...)",https://www.youtube.com/watch?v=wlBWMSv7EcY,0.085083,0.044003,0.000026,0.500604,189.818645,5142.640439,2022-09-07 17:29:41,951,0.0726,512030.0000,0.0738,7051661,512030,0,8533,520563,3670833805143
on a loué un camion et on fait des surprises,https://www.youtube.com/watch?v=lyrgK96-bWk,0.082750,0.042329,0.000027,0.500787,130.195770,3654.742975,2021-04-04 16:26:18,1491,0.0697,481829.0000,0.0712,6915717,481829,0,10898,492727,3407560490259
mon premier et dernier entretien d’embauche,https://www.youtube.com/watch?v=xAue4Xr3Bc0,0.094615,0.040951,0.000023,0.501151,138.497719,3995.467553,2020-05-26 18:17:44,906,0.0670,590527.0000,0.0693,8810728,590527,0,20297,610824,5381804119872
j'ai trouvé mon âme sœur grâce à ça,https://www.youtube.com/watch?v=miI6EEypbcg,0.078137,0.041130,0.000030,0.500526,140.479715,4073.632102,2022-02-22 18:28:48,963,0.0679,433857.0000,0.0690,6388160,433857,0,6735,440592,2814572190720
je dois vous parler de cette émission,https://www.youtube.com/watch?v=Tt46K1cGEbo,0.081721,0.040829,0.000028,0.500795,114.330210,3325.247095,2020-09-19 16:55:30,912,0.0672,466658.0000,0.0688,6947232,466658,0,11067,477725,3318866407200
L'histoire du projet le plus fou de ma vie,https://www.youtube.com/watch?v=CmgyUYCibwA,0.105131,0.040397,0.000019,0.500824,271.323528,7977.169334,2022-11-13 15:11:31,3026,0.0664,690620.0000,0.0680,10404702,690620,0,17159,707779,7364229576858
on affronte les plus grandes peurs de l'humanité,https://www.youtube.com/watch?v=72mo70CeSHE,0.104143,0.040406,0.000020,0.500670,221.219933,6515.244432,2022-02-16 17:59:12,1710,0.0666,682719.0000,0.0679,10256256,682719,0,13766,696485,7143328460160
Elle lui a laissé aucune chance,https://www.youtube.com/watch?v=dFhlR19t5zM,0.088867,0.039667,0.000025,0.500551,198.173608,5956.353231,2022-09-14 17:49:30,1012,0.0654,531727.0000,0.0665,8125659,531727,0,8969,540696,4393511318664
"Si vous l’apercevez, vous êtes sauvé",https://www.youtube.com/watch?v=_5FRoDaNZ9w,0.085232,0.038962,0.000027,0.500402,177.101305,5430.748434,2022-07-26 16:42:12,1031,0.0644,494741.0000,0.0652,7680420,494741,0,6188,500929,3847345110180
nos photos sont-elles retouchées ??,https://www.youtube.com/watch?v=P09Gedr_oHY,0.091073,0.038217,0.000024,0.500385,141.234214,4413.899908,2021-02-03 18:50:27,930,0.0632,544779.0000,0.0640,8616630,544779,0,6643,551422,4751399347860
La décision de ma vie clairement (Linda Brown #fin),https://www.youtube.com/watch?v=mGPCWxfNRz0,0.076062,0.037707,0.000032,0.501085,86.811923,2718.766189,2019-11-20 17:29:58,1439,0.0617,401385.0000,0.0639,6506589,401385,0,14133,415518,2703604848102
Un délire parti très loin,https://www.youtube.com/watch?v=geXbwKKNWEI,0.085093,0.037556,0.000027,0.500631,103.710455,3284.326789,2019-11-29 19:12:48,1276,0.0619,484629.0000,0.0632,7830303,484629,0,9891,494520,3872241439560
J'AI PLEURÉ DEVANT CE CHEF D’ŒUVRE (The Last Guardian FIN),https://www.youtube.com/watch?v=lrnazIq--RU,0.069221,0.035054,0.000040,0.504739,53.676514,1700.909103,2016-12-18 18:29:29,2195,0.0536,315663.0000,0.0631,5885439,315663,0,55796,371459,2186199285501
1 an pour préparer le plus gros projet de ma vie,https://www.youtube.com/watch?v=wutdecDrFEs,0.063668,0.037024,0.000043,0.500487,152.223216,4908.486885,2023-10-08 15:47:45,2769,0.0610,292239.0000,0.0620,4787173,292239,0,4682,296921,1421412194333
