Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
Vsauce Live Stream!,https://www.youtube.com/watch?v=wff8strTmAc,56.000000,67.200031,0.041835,0.495575,0.017254,0.000305,2017-06-18 17:45:04,112.0000,112.0000,112.0000,1,112,0,0,112,112
​,https://www.youtube.com/watch?v=OiUdSeinSz4,0.053955,0.062061,0.000047,0.501598,128.802050,2456.253980,2023-07-16 17:53:44,0.1017,263608.0000,0.1049,2592613,263608,0,8296,271904,704941845152
It's Time To Rename Uranus,https://www.youtube.com/watch?v=r734u7g80Zw,0.057971,0.061551,0.000018,0.501336,419.671804,8091.214164,2023-12-26 00:04:32,0.1011,730431.0000,0.1037,7227538,730431,0,19318,749749,5418839387962
Dueling Proverbs,https://www.youtube.com/watch?v=s2a-DsX9Ezg,0.054379,0.061264,0.000035,0.500600,170.099737,3317.206912,2023-06-09 21:50:56,0.1014,367256.0000,0.1026,3623552,367256,0,4360,371616,1346569900032
What if The Hokey Pokey *IS* what it's all about?,https://www.youtube.com/watch?v=QE3D7NyQPmI,0.053323,0.060333,0.000038,0.500778,136.700846,2701.609232,2023-01-16 20:33:20,0.0996,332828.0000,0.1012,3340281,332828,0,5206,338034,1129128547554
A Little Story I Loved As A Kid,https://www.youtube.com/watch?v=-URHimp1bJc,0.059197,0.059298,0.000014,0.500285,524.259593,10597.001593,2023-10-02 18:28:26,0.0984,1019009.0000,0.0989,10358473,1019009,0,5908,1024917,10616575071741
Birthday Stars,https://www.youtube.com/watch?v=AY3zIymVhQQ,0.049989,0.057041,0.000049,0.500469,102.734782,2153.646189,2023-01-04 22:04:54,0.0945,253964.0000,0.0954,2688484,253964,0,2531,256495,689582703580
The First Staged Photograph,https://www.youtube.com/watch?v=6fb74LrAtS0,0.049311,0.056776,0.000059,0.500187,82.172533,1735.737523,2022-12-27 20:58:09,0.0943,205655.0000,0.0947,2180758,205655,0,825,206480,450282911840
there is no music out there,https://www.youtube.com/watch?v=YiEkUxt9BF8,0.049207,0.056562,0.000056,0.500650,166.582243,3519.048668,2024-08-02 18:15:53,0.0934,220965.0000,0.0947,2366559,220965,0,3087,224052,530232277068
Funny Epigrams,https://www.youtube.com/watch?v=4vbdDtbgkr8,0.051047,0.056570,0.000032,0.500595,267.974333,5661.898715,2024-05-13 22:39:33,0.0935,398655.0000,0.0947,4265202,398655,0,5083,403738,1722024125076
Stop Wearing Shirts,https://www.youtube.com/watch?v=0r7DmVdR5AA,0.050473,0.055976,0.000033,0.500831,252.626344,5380.010334,2024-04-15 22:31:49,0.0922,387763.0000,0.0939,4203520,387763,0,7001,394764,1659398369280
Sundials don't mess around,https://www.youtube.com/watch?v=YFT6Ym1oO28,0.049931,0.056185,0.000040,0.500375,128.003420,2726.842416,2023-01-18 23:04:45,0.0931,313451.0000,0.0939,3365739,313451,0,2537,315988,1063533135132
All The Ghosts You Will Be,https://www.youtube.com/watch?v=xHd4zsIbXJ0,0.051089,0.054063,0.000022,0.503374,991.930045,21339.198955,2025-07-16 01:00:01,0.0862,598347.0000,0.0930,6939913,598347,0,46841,645188,4477548588644
Constructing Numbers From Nothing,https://www.youtube.com/watch?v=sv-1cXvOoNQ,0.051255,0.055546,0.000027,0.500589,340.727220,7332.144843,2024-06-02 13:50:53,0.0918,493619.0000,0.0929,5379475,493619,0,6352,499971,2689581495225
The Oldest Photograph,https://www.youtube.com/watch?v=aAGvGbSoWVc,0.050056,0.055708,0.000035,0.500231,235.539308,5072.773165,2024-04-20 16:11:43,0.0924,364004.0000,0.0929,3939444,364004,0,1828,365832,1441174677408
Both Halves Of The Alphabet,https://www.youtube.com/watch?v=jqoAqJG8WwA,0.051588,0.055131,0.000024,0.500169,279.630189,6086.460980,2023-09-21 21:56:31,0.0915,550702.0000,0.0919,6015532,550702,0,2040,552742,3325037188744
The Man Who Saved The World,https://www.youtube.com/watch?v=JyJ6K_n5bIM,0.067704,0.054978,0.000007,0.500493,1925.961607,41950.157876,2024-12-02 02:07:47,0.0908,2100264.0000,0.0918,23121750,2100264,0,22807,2123071,49089116894250
That Time I Said Prime Numbers For 3 Hours,https://www.youtube.com/watch?v=_d9Yc25t7Z0,0.057604,0.053724,0.000012,0.500190,889.118050,19871.438376,2024-07-22 18:43:13,0.0891,1210205.0000,0.0895,13581744,1210205,0,5184,1215389,16507102258416
The Book Of Answers #shorts,https://www.youtube.com/watch?v=X0LC9biDAwg,0.048829,0.051776,0.000025,0.503170,222.474044,4980.790382,2022-12-09 18:42:22,0.0830,526824.0000,0.0893,6347924,526824,0,40253,567077,3599761698148
