Title,URL,Score:viral,Score:educational,Score:controversial,Score:community,Score:evergreen,Score:hype,Published at,Duration,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
All The Ghosts You Will Be,https://www.youtube.com/watch?v=xHd4zsIbXJ0,0.067552,0.053992,0.000022,0.503368,981.651829,21145.108376,2025-07-16 01:00:01,1320,0.0861,598742.0000,0.0928,6953166,598742,0,46852,645594,4488922250604
Selfie Waves,https://www.youtube.com/watch?v=mMaBVfIedFw,0.046693,0.031255,0.000040,0.501293,128.199138,4814.261962,2022-11-17 15:01:24,1512,0.0507,317175.0000,0.0533,6259728,317175,0,16205,333380,2086868120640
Laws & Causes,https://www.youtube.com/watch?v=_WHRWLnVm_M,0.047358,0.028360,0.000039,0.501890,72.258708,2943.902239,2019-10-01 12:58:46,1341,0.0453,325894.0000,0.0491,7192930,325894,0,27209,353103,2539845161790
The Odd Number Rule,https://www.youtube.com/watch?v=U6VBV4QUMu0,0.060889,0.028147,0.000026,0.501687,128.113190,5280.662450,2020-07-29 20:26:40,1327,0.0451,510412.0000,0.0485,11306008,510412,0,38173,548585,6202306398680
How Many Holes Does a Human Have?,https://www.youtube.com/watch?v=egEraZP9yXQ,0.075366,0.027881,0.000019,0.501923,164.900590,6825.258708,2020-02-17 15:02:34,1287,0.0445,699419.0000,0.0483,15727074,699419,0,60523,759942,11951664069708
‌‌,https://www.youtube.com/watch?v=K93zcgFsynk,0.084785,0.027809,0.000016,0.501813,83.982223,3489.746257,2011-11-16 01:21:07,390,0.0445,826202.0000,0.0481,18564809,826202,0,67337,893539,16588380869051
The Future Of Reasoning,https://www.youtube.com/watch?v=_ArVh3Cj9rw,0.063970,0.027908,0.000024,0.501457,157.467213,6577.177838,2021-04-28 21:53:46,1802,0.0450,552456.0000,0.0479,12285907,552456,0,35828,588284,7227602513588
Did People Used To Look Older?,https://www.youtube.com/watch?v=vjqt8T3tJIE,0.090862,0.027527,0.000015,0.501308,336.885033,14314.091743,2022-07-11 15:09:07,1374,0.0445,909428.0000,0.0471,20458291,909428,0,53551,962979,19700904608889
Talking With Attenborough,https://www.youtube.com/watch?v=OC8_Sjlvxic,0.030346,0.026834,0.000109,0.501352,16.072250,698.296023,2016-11-05 21:04:46,970,0.0433,105966.0000,0.0460,2446127,105966,0,6635,112601,275436346327
Do Chairs Exist?,https://www.youtube.com/watch?v=fXW-QjBsruE,0.072683,0.026431,0.000021,0.501718,201.803623,8836.906076,2021-09-14 13:30:21,2274,0.0422,645441.0000,0.0457,15281749,645441,0,52520,697961,10666064813789
Illusions of Time,https://www.youtube.com/watch?v=zHL9GP_B30E,0.095835,0.024331,0.000015,0.501332,240.356673,11500.287871,2021-01-08 20:38:36,1868,0.0391,890242.0000,0.0418,22747713,890242,0,60614,950856,21629799392328
What Is The Scariest Thing?,https://www.youtube.com/watch?v=9Vmwsg8Eabo,0.058814,0.023541,0.000030,0.501978,100.664954,4893.143306,2019-10-24 13:00:04,2441,0.0372,440413.0000,0.0411,11843026,440413,0,46871,487284,5770917081384
Alzheimer's and the Brain,https://www.youtube.com/watch?v=dWcdBOYy_bU,0.051040,0.020989,0.000037,0.501224,50.426497,2788.953020,2016-07-02 23:41:02,902,0.0337,341169.0000,0.0362,10120792,341169,0,24814,365983,3704037818536
